/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[930] pix=32.58 sam=38.76 samrand=38.76
[940] pix=32.57 sam=38.74 samrand=38.74
[950] pix=32.61 sam=38.81 samrand=38.81
[960] pix=32.62 sam=38.75 samrand=38.75
[970] pix=32.69 sam=38.85 samrand=38.85
[980] pix=32.71 sam=38.88 samrand=38.88
[990] pix=32.72 sam=38.89 samrand=38.89
[1000] pix=32.73 sam=38.88 samrand=38.88
[1010] pix=32.75 sam=38.88 samrand=38.88
[1020] pix=32.83 sam=38.94 samrand=38.94
[1030] pix=32.87 sam=38.98 samrand=38.98
[1040] pix=32.89 sam=38.99 samrand=38.99
[1050] pix=32.84 sam=38.95 samrand=38.95
[1060] pix=32.89 sam=38.97 samrand=38.97
[1070] pix=32.99 sam=39.10 samrand=39.10
[1080] pix=33.08 sam=39.18 samrand=39.18
[1090] pix=33.07 sam=39.20 samrand=39.20
[1100] pix=33.05 sam=39.21 samrand=39.21
[1110] pix=33.10 sam=39.25 samrand=39.25
[1120] pix=33.09 sam=39.25 samrand=39.25
[1130] pix=33.06 sam=39.25 samrand=39.25
[1140] pix=33.07 sam=39.29 samrand=39.29
[1150] pix=33.06 sam=39.30 samrand=39.30
[1160] pix=33.04 sam=39.27 samrand=39.27
[1170] pix=33.06 sam=39.32 samrand=39.32
[1180] pix=33.03 sam=39.31 samrand=39.31
[1190] pix=33.06 sam=39.35 samrand=39.35
[1200] pix=33.02 sam=39.22 samrand=39.22
[1210] pix=33.03 sam=39.23 samrand=39.23
[1220] pix=33.01 sam=39.25 samrand=39.25
[1230] pix=33.00 sam=39.24 samrand=39.24
[1240] pix=33.00 sam=39.24 samrand=39.24
[1250] pix=32.98 sam=39.24 samrand=39.24
[1260] pix=32.93 sam=39.24 samrand=39.24
[1270] pix=32.86 sam=39.15 samrand=39.15
[1280] pix=32.86 sam=39.13 samrand=39.13
[1290] pix=32.80 sam=39.02 samrand=39.02
[1300] pix=32.81 sam=39.04 samrand=39.04
[1310] pix=32.75 sam=38.98 samrand=38.98
[1320] pix=32.73 sam=38.93 samrand=38.93
[1330] pix=32.69 sam=38.82 samrand=38.82
[1340] pix=32.72 sam=38.89 samrand=38.89
{
 "pix_vabs": 32.78,
 "sam_reg_vabs": 39.02,
 "sam_reg_rand": 39.02
}
